aaabcn cabana
aaabcns cabanas
aaabdnn bandana
aaabnn banana
aaabnns bananas
aaabrsz bazaars
aaabrz bazaar
aaacci acacia
aaaccis acacias
aaacdmm macadam
aaacenp panacea
aaaclmn almanac
aaaclp alpaca
aaaclps alpacas
aaaclpt catalpa
aaacmr maraca
aaacmrs maracas mascara
aaacnrv caravan
aaacnst canasta
aaacntt cantata
aaacrwy caraway
aaacssv cassava
aaadmnt adamant
aaadmr armada
aaadmrs armadas
aaaeimn anaemia
aaaelsz azaleas
aaaelz azalea
aaaffll alfalfa
aaafrwy faraway
aaaglmm amalgam
aaaglns lasagna
aaagmnr anagram
aaahips aphasia
aaahmmt mahatma
aaailmr malaria
aaaiqru aquaria
aaajmps pajamas
aaallpt palatal
aaalms salaam
aaalmss salaams
aaalwyy layaway
aaannsv savanna
aaappsy papayas
aaappy papaya
aaarstv avatars
aaartv avatar
aab baa
aabbbo baobab
aabbbos baobabs
aabbceg cabbage
aabbegn beanbag
aabbsty babysat
aabceln balance
aabcelp capable
aabcemr macabre
aabcert cabaret
aabci abaci
aabcim cambia
aabcitx taxicab
aabck aback
aabckrr barrack
aabcl cabal
aabclpy capably
aabcls cabals
aabcort acrobat
aabcott catboat
aabcrs scarab
aabcrss scarabs
aabcsu abacus
aabdder abraded
aabde baaed
aabdegn bandage
aabdehs abashed
aabdems sambaed
aabder abrade
aabders abrades
aabdes abased
aabdet abated
aabdghn handbag
aabdgns sandbag
aabdimr barmaid
aabdll ballad
aabdlls ballads
aabdlm lambda
aabdmnr armband
aabdnno abandon
aabdnrs sandbar
aabdor aboard abroad
aabdorv bravado
aabdrst bastard
aabeelt eatable
aabeem amebae
aabeemo amoebae
aabeffl affable
aabeggg baggage
aabeggr garbage
aabeglr algebra
aabegrr barrage
aabegt teabag
aabehss abashes
aabeilm amiable
aabells salable
aabelmt tamable
aabelno abalone
aabelpr parable
aabelpy payable
aabelr arable
aabeltu tableau
aabeltx taxable
aabelz ablaze
aabem abeam ameba
aabemns baseman
aabemo amoeba
aabemos amoebas
aabems amebas
aabennw wannabe
aaberst abreast
aabes abase
aabess abases
aabest abates
aabet abate
aabffly affably
aabft abaft
aabgin baaing
aabginr bargain
aabgins abasing
aabgint abating
aabhitt habitat
aabhmtt bathmat
aabhs abash
aabil labia
aabill labial
